Coin Name,Date,Open,High,Low,Close,Volume,Currency
1inch Token,12/03/2021,3.997688055,4.1340518,3.707215071,3.803529024,122202522,USD
1inch Token,13/03/2021,3.803046942,4.178732872,3.640556097,4.104522228,123477327,USD
1inch Token,14/03/2021,4.101463795,4.213990211,3.856931925,3.856931925,101107288,USD
1inch Token,15/03/2021,3.849551916,4.352675915,3.748450994,3.959274054,189606122,USD
1inch Token,16/03/2021,3.952828884,4.623841763,3.799038887,4.542090893,211821006,USD
1inch Token,17/03/2021,4.550381184,4.993397236,4.265408039,4.987410069,239373005,USD
1inch Token,18/03/2021,5.003087997,5.082560062,4.550352097,4.58293581,156228957,USD
1inch Token,19/03/2021,4.575448036,5.242631912,4.478244781,4.915463924,181659051,USD
1inch Token,20/03/2021,4.906064987,5.198781013,4.739798069,4.743109226,111011814,USD
1inch Token,21/03/2021,4.739998817,4.817779064,4.533405781,4.673628807,102306811,USD
1inch Token,22/03/2021,4.674595833,4.840554237,4.233623981,4.315793991,127435919,USD
1inch Token,23/03/2021,4.313683987,4.460331917,4.038687229,4.105051994,119013543,USD
1inch Token,24/03/2021,4.099548817,4.338332176,3.625844002,3.734952927,113293447,USD
1inch Token,25/03/2021,3.727503061,3.860754013,3.585561991,3.678205967,99045205,USD
1inch Token,26/03/2021,3.676564932,4.030532837,3.676564932,4.005912781,74864877,USD
1inch Token,27/03/2021,4.007835865,4.063490868,3.826561928,3.995959044,70190081,USD
1inch Token,28/03/2021,3.998172998,4.223733902,3.953068972,4.088616848,78265349,USD
1inch Token,29/03/2021,4.087469101,4.616239071,4.039313793,4.591594219,140873995,USD
1inch Token,30/03/2021,4.598204136,4.679769993,4.436862946,4.506227016,87607942,USD
1inch Token,31/03/2021,4.507825851,4.552718163,4.205397129,4.334773064,91819790,USD
1inch Token,01/04/2021,4.337720871,4.509317875,4.298948765,4.450286865,91108308,USD
1inch Token,02/04/2021,4.452829838,4.695946217,4.409220219,4.688978195,99894562,USD
1inch Token,03/04/2021,4.682929039,4.79206419,4.266657829,4.267989159,121334092,USD
1inch Token,04/04/2021,4.266315937,4.710017204,4.211835861,4.59641695,91285938,USD
1inch Token,05/04/2021,4.592116833,5.366664886,4.451250076,5.315637112,250498100,USD
1inch Token,06/04/2021,5.314298153,5.828504086,5.196361065,5.196361065,296396120,USD
1inch Token,07/04/2021,5.185145855,5.920596123,4.551349163,5.540772915,509325298,USD
1inch Token,08/04/2021,5.573445797,6.496529102,5.48930788,6.213879108,543989276,USD
1inch Token,09/04/2021,6.207716942,6.668506145,5.973265171,6.111101151,338846878,USD
1inch Token,10/04/2021,6.106838226,6.106838226,5.540623188,5.737141132,239290719,USD
1inch Token,11/04/2021,5.739841938,5.906895161,5.571240902,5.691613197,146275772,USD
1inch Token,12/04/2021,5.688045979,5.827048779,5.27930212,5.486588955,173556284,USD
1inch Token,13/04/2021,5.499556065,5.798491955,5.425449848,5.612846851,169325547,USD
1inch Token,14/04/2021,5.606917858,6.022559166,5.459146023,5.880931854,225811496,USD
1inch Token,15/04/2021,5.88611412,6.412836075,5.785424232,6.091805935,222179644,USD
1inch Token,16/04/2021,6.089352131,6.142793179,5.625533104,5.829189777,161737365,USD
1inch Token,17/04/2021,5.824583054,6.598105907,5.824583054,6.523641109,218658639,USD
1inch Token,18/04/2021,6.539519787,6.72396183,4.680039883,5.280985832,340909896,USD
1inch Token,19/04/2021,5.297682762,5.459774017,4.722282887,4.861002922,149010303,USD
1inch Token,20/04/2021,4.848485947,5.183694839,4.431760788,5.019659042,178751146,USD
1inch Token,21/04/2021,5.022946835,5.278470039,4.868884087,5.02826786,177811575,USD
1inch Token,22/04/2021,5.01985693,5.324549198,4.53956604,4.600837231,191565601,USD
1inch Token,23/04/2021,4.592182159,4.690489769,3.779252052,4.278502941,234049483,USD
1inch Token,24/04/2021,4.284187794,4.284187794,3.919475079,3.943989992,98756612,USD
1inch Token,25/04/2021,3.952858925,4.244522095,3.79233098,3.983540058,72845805,USD
1inch Token,26/04/2021,3.994829893,4.567459106,3.952817917,4.54365015,111961958,USD
1inch Token,27/04/2021,4.548544884,5.153409958,4.461765766,5.133953094,178872810,USD
1inch Token,28/04/2021,5.115824223,5.746838093,4.711722851,5.550592899,342344276,USD
1inch Token,29/04/2021,5.549767017,5.899168968,5.234069824,5.473768234,233829539,USD
1inch Token,30/04/2021,5.472961903,5.722657204,5.34623909,5.660096169,155407151,USD
1inch Token,01/05/2021,5.649361134,5.729240894,5.376054764,5.518240929,107076650,USD
1inch Token,02/05/2021,5.524050236,5.531774998,5.192813873,5.362047195,90804618,USD
1inch Token,03/05/2021,5.36218214,5.945277214,5.352744102,5.868137836,163598914,USD
1inch Token,04/05/2021,5.867577076,5.902246952,5.221851826,5.252388,200586997,USD
1inch Token,05/05/2021,5.243247032,6.283233166,5.192660809,5.987308025,232250695,USD
1inch Token,06/05/2021,5.982579231,7.54598093,5.90770483,6.600728035,735178003,USD
1inch Token,07/05/2021,6.60697794,7.109762192,6.301967144,6.585403919,295706932,USD
1inch Token,08/05/2021,6.574216843,7.866654873,6.476090908,7.477116108,402969156,USD
1inch Token,09/05/2021,7.489880085,7.528828144,6.732738018,7.075136185,323786866,USD
1inch Token,10/05/2021,7.07606411,7.187948227,5.595929146,6.193735123,278000968,USD
1inch Token,11/05/2021,6.179039001,6.531898022,5.815326214,6.523254871,214859414,USD
1inch Token,12/05/2021,6.534516811,6.918886185,5.503589153,5.503589153,250336739,USD
1inch Token,13/05/2021,5.613152981,6.057887077,5.180895805,5.581622124,275551692,USD
1inch Token,14/05/2021,5.578845978,5.935869217,5.465921879,5.73986578,163521313,USD
1inch Token,15/05/2021,5.733366966,6.041849136,5.242811203,5.256236076,196598678,USD
1inch Token,16/05/2021,5.253662109,5.631434917,4.669640064,5.128571987,217464560,USD
1inch Token,17/05/2021,5.133783817,5.163262844,4.458295822,4.702971935,203698113,USD
1inch Token,18/05/2021,4.696628094,5.400568008,4.655410767,5.282966137,213211065,USD
1inch Token,19/05/2021,5.27488184,5.417768955,2.660603046,3.250112057,387936900,USD
1inch Token,20/05/2021,3.209589958,3.95994401,2.7526021,3.622283936,234405430,USD
1inch Token,21/05/2021,3.598459005,3.807650089,2.65405798,3.110918045,180794748,USD
1inch Token,22/05/2021,3.122262001,3.152384043,2.647957087,2.722697973,129174400,USD
1inch Token,23/05/2021,2.724076986,2.884821892,1.784558058,2.354283094,171921202,USD
1inch Token,24/05/2021,2.337749004,3.009459972,2.296785116,2.937606096,161381009,USD
1inch Token,25/05/2021,2.948672056,3.096632957,2.543458939,2.895454884,127129785,USD
1inch Token,26/05/2021,2.894438982,3.46430397,2.841404915,3.41130209,172026032,USD
1inch Token,27/05/2021,3.435085058,3.435085058,2.976990938,3.255686998,107592569,USD
1inch Token,28/05/2021,3.270884991,3.375744104,2.615736008,2.759031057,124555543,USD
1inch Token,29/05/2021,2.761723995,2.97953701,2.447623014,2.569586039,101283056,USD
1inch Token,30/05/2021,2.566102028,2.980989933,2.415752888,2.886342049,90557110,USD
1inch Token,31/05/2021,2.882787943,3.294711113,2.762959957,3.218859911,121059017,USD
1inch Token,01/06/2021,3.211534977,3.266596079,2.992974043,3.122328043,86427185,USD
1inch Token,02/06/2021,3.12203002,3.562586069,3.043925047,3.37075901,130574402,USD
1inch Token,03/06/2021,3.377305984,3.596951962,3.335141897,3.495321035,101871243,USD
1inch Token,04/06/2021,3.496326923,3.655589104,3.111033916,3.377984047,176010089,USD
1inch Token,05/06/2021,3.380758047,4.007949829,3.342657089,3.68679595,216217314,USD
1inch Token,06/06/2021,3.685960054,4.108746052,3.644110918,3.911708117,166781030,USD
1inch Token,07/06/2021,3.901648045,3.916591883,3.355458021,3.397161007,103413656,USD
1inch Token,08/06/2021,3.404042959,3.450476885,2.850007057,3.111629009,128168699,USD
1inch Token,09/06/2021,3.099211931,3.229724884,2.88540411,3.184657097,162499368,USD
1inch Token,10/06/2021,3.191701889,3.252950907,2.854574919,3.021908998,107321406,USD
1inch Token,11/06/2021,3.017333984,3.066056967,2.665273905,2.738168001,75844861,USD
1inch Token,12/06/2021,2.743822098,2.820101023,2.532201052,2.730659962,74260476,USD
1inch Token,13/06/2021,2.728565931,3.043118,2.623788118,3.008302927,85818027,USD
1inch Token,14/06/2021,3.005923986,3.845938921,2.919573069,3.009229898,84671077,USD
1inch Token,15/06/2021,3.657203913,3.792356968,3.529304028,3.640629053,190993849,USD
1inch Token,16/06/2021,3.746704102,3.947552919,3.553951979,3.593483925,127422089,USD
1inch Token,17/06/2021,3.591860056,3.737417936,3.293958902,3.407126904,111335619,USD
1inch Token,18/06/2021,3.414102077,3.424489975,3.04151392,3.155644894,78585130,USD
1inch Token,19/06/2021,3.166572094,3.21338892,3.019232988,3.034760952,65214406,USD
1inch Token,20/06/2021,3.025021076,3.491858006,2.817442894,3.410135984,104948664,USD
1inch Token,21/06/2021,3.399408102,3.428358078,2.589346886,2.676698923,175706819,USD
1inch Token,22/06/2021,2.66978693,2.851360083,2.078856945,2.395037889,147909466,USD
1inch Token,23/06/2021,2.400043011,2.826575041,2.275276899,2.673573971,110502451,USD
1inch Token,24/06/2021,2.614068031,2.774961948,2.44876194,2.713413954,67207133,USD
1inch Token,25/06/2021,2.726946115,2.785887957,2.325259924,2.349997044,80668424,USD
1inch Token,26/06/2021,2.34443903,2.44767499,2.201519966,2.346472979,67472012,USD
1inch Token,27/06/2021,2.353183031,2.514674902,2.29559803,2.505377054,59643083,USD
1inch Token,28/06/2021,2.502763033,2.60946393,2.339607,2.468066931,97711244,USD
1inch Token,29/06/2021,2.46985507,2.70087409,2.457736015,2.530503988,77799877,USD
1inch Token,30/06/2021,2.546339989,2.572098017,2.342792988,2.535821915,64460206,USD
1inch Token,01/07/2021,2.535394907,2.535394907,2.317183971,2.379313946,50956084,USD
1inch Token,02/07/2021,2.372989893,2.40772295,2.266767979,2.395651102,47747387,USD
